source_row,query,approved_cluster,approved_priority,approved_classification,approved_intent,approved_relevance,clicks,impressions,ctr,position,approved_band,intended_owner,actual_ranking_url,outcome,implemented_or_retained,page_intent_alignment,title_before,title_after,h1_before,h1_after,opening_after,description_after,snippet_eligibility,commercial_cta,serp_limit,measured_ctr_change
10,gad motors,All vehicles: Performance tuning,CRITICAL,SUPPORT,Commercial service enquiry,High,3.0,215.0,0.013999999999999999,6.6,4–10,https://digitecme.com/tuning,Unknown: supplied export does not pair query and page,Retained current page; no justified on-page change,Retained current content and metadata because no justified mismatch was established.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,GAD Motors Performance Tuning,GAD Motors Performance Tuning,"Digi-Tec plans ECU tuning around the exact vehicle, its current condition, fuel, intended use and supporting hardware. The team explains the proposed calibration and expected result before the project begins.","Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book a Tuning Consultation ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
109,mercedes service in dubai,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,148.0,0.0,6.74,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
5,gad tuning,All vehicles: Performance tuning,CRITICAL,SUPPORT,Commercial service enquiry,High,4.0,125.0,0.032,9.57,4–10,https://digitecme.com/tuning,Unknown: supplied export does not pair query and page,Retained current page; no justified on-page change,Retained current content and metadata because no justified mismatch was established.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,GAD Motors Performance Tuning,GAD Motors Performance Tuning,"Digi-Tec plans ECU tuning around the exact vehicle, its current condition, fuel, intended use and supporting hardware. The team explains the proposed calibration and expected result before the project begins.","Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book a Tuning Consultation ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
136,mercedes car repair dubai,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,118.0,0.0,8.96,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
146,exhaust repair near me,All vehicles: Exhaust repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,110.0,0.0,8.23,4–10,https://digitecme.com/services/exhaust-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Replaced ambiguous Cat title with exhaust and muffler repair; kept repair intent and cost FAQs; added quote guidance and contextual enquiry actions; modification requests remain with tuning.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Exhaust Repair Dubai | Cat, Muffler, DPF & Performance",Exhaust & Muffler Repair Dubai | DIGI-TEC,Exhaust Repair in Dubai,Exhaust Repair in Dubai,"Digitec Performance Center inspects and repairs supported exhaust concerns in Dubai. Excessive noise, visible damage, exhaust smell, reduced power or warning messages can lead to leak, restriction, sensor and after-treatment checks before repair or replacement is proposed.","Exhaust and muffler repair in Al Quoz, Dubai. Assessment of leaks, noise, sensors and catalyst or DPF concerns before repair is quoted at DIGI-TEC.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request an Exhaust Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
250,merceds repair,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,58.0,0.0,8.28,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
256,gad mercedes,All vehicles: Performance tuning,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,57.0,0.0,7.88,4–10,https://digitecme.com/tuning,Unknown: supplied export does not pair query and page,Retained current page; no justified on-page change,Retained current content and metadata because no justified mismatch was established.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,Performance Tuning Dubai | ECU & Hardware Projects | Digi-Tec,GAD Motors Performance Tuning,GAD Motors Performance Tuning,"Digi-Tec plans ECU tuning around the exact vehicle, its current condition, fuel, intended use and supporting hardware. The team explains the proposed calibration and expected result before the project begins.","Vehicle-specific ECU tuning and supporting-hardware projects for performance cars at Digi-Tec in Al Quoz, Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book a Tuning Consultation ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
260,mercedes garage in dubai,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,56.0,0.0,8.98,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
270,nissan service center al quoz,nissan: Service and repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,54.0,0.0,9.3,4–10,https://digitecme.com/brands/nissan-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Retained existing brand hub content and ownership; made final service enquiry label brand-specific. Audi/Bentley also gained paint-care links.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Nissan Repair Dubai | Digi-Tec,Nissan Repair Dubai | Digi-Tec,Nissan Repair & Service Dubai,Nissan Repair & Service Dubai,"Nissan owners can request an inspection, maintenance or repair enquiry at Digi-Tec Performance Centre in Al Quoz, Dubai. Model, diagnostic, parts and service availability are confirmed from the VIN, vehicle condition and requested work before the scope is agreed.","Specialist Nissan repair and service in Dubai: diagnostics, maintenance, brakes, transmission, suspension and AC at Digi-Tec, Al Quoz.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request Nissan Service,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
7,exhaust repair dubai,All vehicles: Exhaust repair,CRITICAL,PRIORITIZE,Commercial service enquiry,High,4.0,52.0,0.07690000000000001,8.87,4–10,https://digitecme.com/services/exhaust-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Replaced ambiguous Cat title with exhaust and muffler repair; kept repair intent and cost FAQs; added quote guidance and contextual enquiry actions; modification requests remain with tuning.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Exhaust Repair Dubai | Cat, Muffler, DPF & Performance",Exhaust & Muffler Repair Dubai | DIGI-TEC,Exhaust Repair in Dubai,Exhaust Repair in Dubai,"Digitec Performance Center inspects and repairs supported exhaust concerns in Dubai. Excessive noise, visible damage, exhaust smell, reduced power or warning messages can lead to leak, restriction, sensor and after-treatment checks before repair or replacement is proposed.","Exhaust and muffler repair in Al Quoz, Dubai. Assessment of leaks, noise, sensors and catalyst or DPF concerns before repair is quoted at DIGI-TEC.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request an Exhaust Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
