"Query","Intent","Primary URL","Clicks","Impressions","CTR","Average position","Workbook range","Mapping basis"
"bmw service dubai","BMW","https://digitecme.com/brands/bmw-service-dubai","0","60","0","16.88","Queries!A13:E13","Implemented intent ownership; not an observed query-page association"
"rolls royce service dubai","Rolls-Royce","https://digitecme.com/brands/rolls-royce-service-dubai","0","50","0","18.32","Queries!A16:E16","Implemented intent ownership; not an observed query-page association"
"aston martin service dubai","Aston Martin","https://digitecme.com/brands/aston-martin-service-dubai","1","31","0.0323","21.97","Queries!A5:E5","Implemented intent ownership; not an observed query-page association"
"bentley service dubai","Bentley","https://digitecme.com/brands/bentley-service-dubai","0","35","0","32.4","Queries!A28:E28","Implemented intent ownership; not an observed query-page association"
"car paint protection","PPF","https://digitecme.com/services/paint-protection-film","0","45","0","32.89","Queries!A17:E17","Implemented intent ownership; not an observed query-page association"
"car paint protection dubai","PPF","https://digitecme.com/services/paint-protection-film","0","18","0","22.78","Queries!A77:E77","Implemented intent ownership; not an observed query-page association"
"car paint protection film","PPF","https://digitecme.com/services/paint-protection-film","0","30","0","30.47","Queries!A39:E39","Implemented intent ownership; not an observed query-page association"
"paint protection film","PPF","https://digitecme.com/services/paint-protection-film","0","26","0","48.96","Queries!A53:E53","Implemented intent ownership; not an observed query-page association"
"paint protection film ppf","PPF","https://digitecme.com/services/paint-protection-film","0","36","0","37.31","Queries!A24:E24","Implemented intent ownership; not an observed query-page association"
"paint protection film near me","PPF","https://digitecme.com/services/paint-protection-film","0","43","0","14.12","Queries!A19:E19","Implemented intent ownership; not an observed query-page association"
"paint protection film installers","PPF","https://digitecme.com/services/paint-protection-film","0","22","0","19.09","Queries!A59:E59","Implemented intent ownership; not an observed query-page association"
"ppf dubai","PPF","https://digitecme.com/services/paint-protection-film","0","7","0","51","Queries!A288:E288","Implemented intent ownership; not an observed query-page association"
"ceramic paint protection","Ceramic","https://digitecme.com/services/ceramic-coating","0","28","0","35.14","Queries!A44:E44","Implemented intent ownership; not an observed query-page association"
"ceramic paint protection dubai","Ceramic","https://digitecme.com/services/ceramic-coating","0","36","0","20.28","Queries!A23:E23","Implemented intent ownership; not an observed query-page association"
"paint protection coating","Ceramic","https://digitecme.com/services/ceramic-coating","0","35","0","27.74","Queries!A27:E27","Implemented intent ownership; not an observed query-page association"
"cue screen replacement in dubai","Cadillac CUE","https://digitecme.com/services/cadillac-cue-screen-repair-dubai","0","39","0","31.03","Queries!A20:E20","Implemented intent ownership; not an observed query-page association"
"cadillac touch screen repair in dubai","Cadillac CUE","https://digitecme.com/services/cadillac-cue-screen-repair-dubai","0","37","0","55","Queries!A22:E22","Implemented intent ownership; not an observed query-page association"
"cadillac cue screen replacement in dubai","Cadillac CUE","https://digitecme.com/services/cadillac-cue-screen-repair-dubai","0","9","0","44","Queries!A209:E209","Implemented intent ownership; not an observed query-page association"
"cadillac xts touch screen replacement in dubai","Cadillac CUE","https://digitecme.com/services/cadillac-cue-screen-repair-dubai","0","20","0","42.85","Queries!A69:E69","Implemented intent ownership; not an observed query-page association"
"cadillac srx screen replacement in dubai","Cadillac CUE","https://digitecme.com/services/cadillac-cue-screen-repair-dubai","0","17","0","54.59","Queries!A80:E80","Implemented intent ownership; not an observed query-page association"
"tire repair dubai","Tyres","https://digitecme.com/services/tire-repair-dubai","0","32","0","23.81","Queries!A34:E34","Implemented intent ownership; not an observed query-page association"
"tyre repair dubai","Tyres","https://digitecme.com/services/tire-repair-dubai","0","32","0","48.47","Queries!A35:E35","Implemented intent ownership; not an observed query-page association"
"command unit repairing dubai","Head unit","https://digitecme.com/services/head-unit-repair-dubai","0","31","0","65.03","Queries!A37:E37","Implemented intent ownership; not an observed query-page association"
"head unit repairing dubai","Head unit","https://digitecme.com/services/head-unit-repair-dubai","0","11","0","64.45","Queries!A154:E154","Implemented intent ownership; not an observed query-page association"
"car electrical repair dubai","Electrical","https://digitecme.com/services/auto-electrical-repair-dubai","0","29","0","44.69","Queries!A41:E41","Implemented intent ownership; not an observed query-page association"
"car electrical repair in dubai","Electrical","https://digitecme.com/services/auto-electrical-repair-dubai","0","9","0","48.44","Queries!A211:E211","Implemented intent ownership; not an observed query-page association"
"car electrical services dubai","Electrical","https://digitecme.com/services/auto-electrical-repair-dubai","0","19","0","74.63","Queries!A75:E75","Implemented intent ownership; not an observed query-page association"
"car wiring repair","Electrical","https://digitecme.com/services/auto-electrical-repair-dubai","0","8","0","43.25","Queries!A246:E246","Implemented intent ownership; not an observed query-page association"
"mercedes stereo upgrade in dubai","Mercedes audio","https://digitecme.com/services/mercedes-audio-upgrade-dubai","0","29","0","49.55","Queries!A42:E42","Implemented intent ownership; not an observed query-page association"
"mercedes e class audio upgrade in dubai","Mercedes audio","https://digitecme.com/services/mercedes-audio-upgrade-dubai","0","15","0","49.73","Queries!A102:E102","Implemented intent ownership; not an observed query-page association"
"mercedes sound system upgrade in dubai","Mercedes audio","https://digitecme.com/services/mercedes-audio-upgrade-dubai","0","3","0","54","Queries!A604:E604","Implemented intent ownership; not an observed query-page association"
"bentley reverse camera in dubai","Bentley camera","https://digitecme.com/brands/bentley-service-dubai/electrical-repair#reverse-camera","0","26","0","43.96","Queries!A52:E52","Implemented intent ownership; not an observed query-page association"
