"Keyword","Source","Source cells","Impressions","Average position","Intent","Proposed owner URL","Content section","Capability evidence","Action","Reason"
"aston martin repair dubai","GSC","Queries!A40:E40","136","18.82","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin service dubai","GSC","Queries!A44:E44","130","17.32","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin engine repair dubai","GSC","Queries!A85:E85","64","22.58","Specific repair","/brands/aston-martin-service-dubai/mechanical-repair","Service assessment","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin repair","GSC","Queries!A110:E110","52","18.52","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin repair near me","GSC","Queries!A118:E118","48","29.6","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","support","Accurate Al Quoz location and directions"
"aston martin brake repair dubai","GSC","Queries!A124:E124","45","7.09","Specific repair","/brands/aston-martin-service-dubai/brake-repair","Service assessment","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin maintenance dubai","GSC","Queries!A137:E137","43","20.98","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin transmission repair dubai","GSC","Queries!A216:E216","30","7.2","Specific repair","/brands/aston-martin-service-dubai/transmission-repair","Service assessment","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin service center","GSC","Queries!A338:E338","18","13.33","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin repair abu dhabi","GSC","Queries!A340:E340","18","19.56","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","exclude","No Abu Dhabi location or collection evidence"
"aston martin service center dubai","GSC","Queries!A346:E346","17","11.59","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin workshop dubai","GSC","Queries!A375:E375","15","4.8","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin transmission repair","GSC","Queries!A379:E379","15","13.53","Specific repair","/brands/aston-martin-service-dubai/transmission-repair","Service assessment","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin garage dubai","GSC","Queries!A389:E389","15","23.2","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin service","GSC","Queries!A451:E451","12","17.17","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","implement","Proposed ownership; query and page aggregates are separate"
"aston martin engine repair abu dhabi","GSC","Queries!A518:E518","10","17.8","Broad local service","/brands/aston-martin-service-dubai","Hub overview and FAQ","Existing service enquiry; specialist functions unverified","exclude","No Abu Dhabi location or collection evidence"
