Keyword,Source,Impressions,Average position,Intent,Primary URL,Supporting route,Action
Bentley service Dubai,GSC 2026-09-05,53,38.15,Broad local commercial,/brands/bentley-service-dubai,,Hub title, H1 and opening own this intent
Bentley workshop Dubai,GSC 2026-09-05,41,36.9,Broad local commercial,/brands/bentley-service-dubai,,Hub owns independent workshop intent
Bentley service,GSC 2026-09-05,33,52.03,Broad service,/brands/bentley-service-dubai,,Support naturally; do not create another hub
Bentley servicing,GSC 2026-09-05,27,45.96,Broad service,/brands/bentley-service-dubai,,Support naturally in maintenance content
Bentley transmission repair Dubai,GSC 2026-09-05,21,21.14,Service commercial,/brands/bentley-service-dubai/transmission-repair,/brands/bentley-service-dubai,Protect child-page ownership and link from hub
Bentley transmission repair,GSC 2026-09-05,19,9.05,Service commercial,/brands/bentley-service-dubai/transmission-repair,/brands/bentley-service-dubai,Protect existing page-one proximity
Bentley service center Dubai,GSC 2026-09-05,19,62.11,Broad local commercial,/brands/bentley-service-dubai,,Use service centre naturally without authorised claim
Bentley service centre,GSC 2026-09-05,16,50.19,Broad local commercial,/brands/bentley-service-dubai,,Use service centre naturally without authorised claim
Bentley repair in Dubai,GSC 2026-09-05,13,54.38,Broad repair,/brands/bentley-service-dubai,,Hub owns broad repair intent
Bentley repair specialist in Dubai,GSC 2026-09-05,11,50.45,Broad local commercial,/brands/bentley-service-dubai,,Describe independent specialist assessment accurately
Bentley suspension repair Dubai,GSC 2026-09-05,10,21.6,Service commercial,/brands/bentley-service-dubai/suspension-repair,/brands/bentley-service-dubai,Protect child-page ownership and link from hub
Bentley AC repair Dubai,GSC 2026-09-05,6,11.83,Service commercial,/brands/bentley-service-dubai/ac-repair,/brands/bentley-service-dubai,Protect child-page ownership and link from hub
Bentley reverse camera in Dubai,GSC 2026-09-05,200,42.3,Specific electrical accessory,/brands/bentley-service-dubai/electrical-repair,/brands/bentley-service-dubai,Assess demand after broader hub update; do not make a thin page yet
