sheet,row,source_range,Top queries,Clicks,Impressions,CTR,Position
Queries,2,Queries!A2:E2,mercedes repair dubai,2.0,137.0,0.0146,2.85
Queries,3,Queries!A3:E3,merceds repair,2.0,12.0,0.16670000000000001,2.5
Queries,4,Queries!A4:E4,car oil change dubai,1.0,43.0,0.0233,17.26
Queries,5,Queries!A5:E5,aston martin service dubai,1.0,31.0,0.0323,21.97
Queries,6,Queries!A6:E6,mercedes repair in dubai,1.0,27.0,0.037000000000000005,5.56
Queries,7,Queries!A7:E7,mercedes service in dubai,1.0,19.0,0.0526,4.58
Queries,8,Queries!A8:E8,mercedes mechanic,1.0,10.0,0.1,4.6
Queries,9,Queries!A9:E9,digitec performance center,1.0,9.0,0.11109999999999999,1.33
Queries,10,Queries!A10:E10,yes,1.0,8.0,0.125,5.5
Queries,11,Queries!A11:E11,ferrari service dubai,0.0,69.0,0.0,12.29
Queries,12,Queries!A12:E12,mercedes repair,0.0,63.0,0.0,4.86
Queries,13,Queries!A13:E13,bmw service dubai,0.0,60.0,0.0,16.88
Queries,14,Queries!A14:E14,mercedes service center dubai,0.0,57.0,0.0,10.0
Queries,15,Queries!A15:E15,mercedes workshop dubai,0.0,50.0,0.0,9.7
Queries,16,Queries!A16:E16,rolls royce service dubai,0.0,50.0,0.0,18.32
Queries,17,Queries!A17:E17,car paint protection,0.0,45.0,0.0,32.89
Queries,18,Queries!A18:E18,mercedes service dubai,0.0,44.0,0.0,10.8
Queries,19,Queries!A19:E19,paint protection film near me,0.0,43.0,0.0,14.12
Queries,20,Queries!A20:E20,cue screen replacement in dubai,0.0,39.0,0.0,31.03
Queries,21,Queries!A21:E21,ferrari service,0.0,37.0,0.0,8.27
Queries,22,Queries!A22:E22,cadillac touch screen repair in dubai,0.0,37.0,0.0,55.0
Queries,23,Queries!A23:E23,ceramic paint protection dubai,0.0,36.0,0.0,20.28
Queries,24,Queries!A24:E24,paint protection film ppf,0.0,36.0,0.0,37.31
Queries,25,Queries!A25:E25,mercedes specialist dubai,0.0,35.0,0.0,2.6
Queries,26,Queries!A26:E26,mercedes service,0.0,35.0,0.0,18.17
Queries,27,Queries!A27:E27,paint protection coating,0.0,35.0,0.0,27.74
Queries,28,Queries!A28:E28,bentley service dubai,0.0,35.0,0.0,32.4
Queries,29,Queries!A29:E29,mclaren service dubai,0.0,34.0,0.0,11.88
Queries,30,Queries!A30:E30,mclaren repair dubai,0.0,34.0,0.0,15.5
