"Canonical URL","Path","Locale","Route family","Page purpose","Indexability","Main visible entity","Before schema","After schema","Recommended schema","Sitemap inclusion","Inbound internal links","Internal-link status","Title"
"https://digitecme.com/","/","en-AE","home","Business identity and primary workshop overview","index, follow","Business identity and primary workshop overview","Static Organization/AutoRepair/WebSite + client WebPage/ItemList/SearchAction/FAQPage","Answer; AutoRepair; AutomotiveBusiness; City; ContactPoint; FAQPage; ImageObject; ItemList; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","Organization, AutoRepair/AutomotiveBusiness, WebSite, WebPage, OfferCatalog, FAQPage","Yes","769","Linked","Digi-Tec Performance Center | Independent Car Workshop Dubai"
"https://digitecme.com/about","/about","en-AE","about","Business background and contact facts","index, follow","Business background and contact facts","Synthetic Service plus client AboutPage/Thing","AboutPage; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Service; WebSite","AboutPage, BreadcrumbList, Organization/AutoRepair reference","Yes","769","Linked","About Digitec Performance Center | Car Workshop in Dubai"
"https://digitecme.com/ar","/ar","ar-AE","home","Business identity and primary workshop overview","index, follow","Business identity and primary workshop overview","Static Organization/AutoRepair/WebSite + client WebPage/ItemList/SearchAction/FAQPage","Answer; AutoRepair; AutomotiveBusiness; City; ContactPoint; FAQPage; ImageObject; ItemList; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","Organization, AutoRepair/AutomotiveBusiness, WebSite, WebPage, OfferCatalog, FAQPage","Yes","668","Linked","ديجي-تك | ورشة سيارات مستقلة في دبي منذ 2002"
"https://digitecme.com/ar/about","/ar/about","ar-AE","about","Business background and contact facts","index, follow","Business background and contact facts","Synthetic Service plus client AboutPage/Thing","AboutPage; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Service; WebSite","AboutPage, BreadcrumbList, Organization/AutoRepair reference","Yes","668","Linked","عن مركز ديجي-تك | ورشة سيارات في دبي"
"https://digitecme.com/ar/best-audi-workshop-dubai","/ar/best-audi-workshop-dubai","ar-AE","workshop-guide","Workshop selection guide and relevant service","index, follow","Workshop selection guide and relevant service","Self-authored best/rating claims in WebPage/Service/FAQPage","Answer; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","WebPage, BreadcrumbList, Service, visible FAQPage without ratings/recommendations","Yes","9","Linked","ورشة خدمة وإصلاح Audi في دبي | ديجي-تك"
"https://digitecme.com/ar/best-bmw-workshop-dubai","/ar/best-bmw-workshop-dubai","ar-AE","workshop-guide","Workshop selection guide and relevant service","index, follow","Workshop selection guide and relevant service","Self-authored best/rating claims in WebPage/Service/FAQPage","Answer; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","WebPage, BreadcrumbList, Service, visible FAQPage without ratings/recommendations","Yes","9","Linked","ورشة خدمة وإصلاح BMW في دبي | ديجي-تك"
"https://digitecme.com/ar/best-car-workshop-dubai","/ar/best-car-workshop-dubai","ar-AE","workshop-guide","Workshop selection guide and relevant service","index, follow","Workshop selection guide and relevant service","Self-authored best/rating claims in WebPage/Service/FAQPage","Answer; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","WebPage, BreadcrumbList, Service, visible FAQPage without ratings/recommendations","Yes","9","Linked","ورشة سيارات فاخرة وأوروبية في دبي | ديجي-تك"
"https://digitecme.com/ar/best-ferrari-workshop-dubai","/ar/best-ferrari-workshop-dubai","ar-AE","workshop-guide","Workshop selection guide and relevant service","index, follow","Workshop selection guide and relevant service","Self-authored best/rating claims in WebPage/Service/FAQPage","Answer; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","WebPage, BreadcrumbList, Service, visible FAQPage without ratings/recommendations","Yes","9","Linked","ورشة خدمة وإصلاح Ferrari في دبي | ديجي-تك"
"https://digitecme.com/ar/best-lamborghini-workshop-dubai","/ar/best-lamborghini-workshop-dubai","ar-AE","workshop-guide","Workshop selection guide and relevant service","index, follow","Workshop selection guide and relevant service","Self-authored best/rating claims in WebPage/Service/FAQPage","Answer; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","WebPage, BreadcrumbList, Service, visible FAQPage without ratings/recommendations","Yes","9","Linked","ورشة خدمة وإصلاح Lamborghini في دبي | ديجي-تك"
"https://digitecme.com/ar/best-porsche-workshop-dubai","/ar/best-porsche-workshop-dubai","ar-AE","workshop-guide","Workshop selection guide and relevant service","index, follow","Workshop selection guide and relevant service","Self-authored best/rating claims in WebPage/Service/FAQPage","Answer; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","WebPage, BreadcrumbList, Service, visible FAQPage without ratings/recommendations","Yes","9","Linked","ورشة خدمة وإصلاح Porsche في دبي | ديجي-تك"
"https://digitecme.com/ar/best-range-rover-workshop-dubai","/ar/best-range-rover-workshop-dubai","ar-AE","workshop-guide","Workshop selection guide and relevant service","index, follow","Workshop selection guide and relevant service","Self-authored best/rating claims in WebPage/Service/FAQPage","Answer; AutoRepair; AutomotiveBusiness; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebPage; WebSite","WebPage, BreadcrumbList, Service, visible FAQPage without ratings/recommendations","Yes","9","Linked","ورشة خدمة وإصلاح Range Rover في دبي | ديجي-تك"
"https://digitecme.com/ar/blog","/ar/blog","ar-AE","blog-hub","Automotive article collection","index, follow","Automotive article collection","Synthetic CollectionPage/Blog + client CollectionPage/BreadcrumbList/Blog","AutoRepair; AutomotiveBusiness; Blog; BlogPosting; BreadcrumbList; City; CollectionPage; ContactPoint; ImageObject; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Service; WebSite","CollectionPage, BreadcrumbList, Blog, ItemList","Yes","668","Linked","مدونة السيارات في دبي | مركز ديجي-تك"
"https://digitecme.com/ar/blog/air-suspension-repair-dubai-guide","/ar/blog/air-suspension-repair-dubai-guide","ar-AE","article","Owner guide or workshop article","index, follow","Owner guide or workshop article","Some routes missing initial schema; otherwise conflicting Article/BlogPosting graphs","Answer; AutoRepair; AutomotiveBusiness; BlogPosting; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ItemPage; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebSite","ItemPage, BreadcrumbList, BlogPosting, visible FAQPage when present","Yes","3","Linked","Air Suspension Repair Dubai | Diagnosis, Leaks and Compressors"
"https://digitecme.com/ar/blog/alfa-romeo-best-workshop-dubai","/ar/blog/alfa-romeo-best-workshop-dubai","ar-AE","article","Owner guide or workshop article","index, follow","Owner guide or workshop article","Some routes missing initial schema; otherwise conflicting Article/BlogPosting graphs","Answer; AutoRepair; AutomotiveBusiness; BlogPosting; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ItemPage; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebSite","ItemPage, BreadcrumbList, BlogPosting, visible FAQPage when present","Yes","3","Linked","ورشة Alfa Romeo في دبي | ديجي-تك"
"https://digitecme.com/ar/blog/aston-martin-best-workshop-dubai","/ar/blog/aston-martin-best-workshop-dubai","ar-AE","article","Owner guide or workshop article","index, follow","Owner guide or workshop article","Some routes missing initial schema; otherwise conflicting Article/BlogPosting graphs","Answer; AutoRepair; AutomotiveBusiness; BlogPosting; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ItemPage; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebSite","ItemPage, BreadcrumbList, BlogPosting, visible FAQPage when present","Yes","3","Linked","ورشة Aston Martin في دبي | ديجي-تك"
"https://digitecme.com/ar/blog/aston-martin-db11-service-dubai-guide","/ar/blog/aston-martin-db11-service-dubai-guide","ar-AE","article","Owner guide or workshop article","index, follow","Owner guide or workshop article","Some routes missing initial schema; otherwise conflicting Article/BlogPosting graphs","Answer; AutoRepair; AutomotiveBusiness; BlogPosting; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ItemPage; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebSite","ItemPage, BreadcrumbList, BlogPosting, visible FAQPage when present","Yes","3","Linked","Aston Martin DB11 Service Dubai | Maintenance Guide"
"https://digitecme.com/ar/blog/audi-maintenance-guide-dubai","/ar/blog/audi-maintenance-guide-dubai","ar-AE","article","Owner guide or workshop article","index, follow","Owner guide or workshop article","Some routes missing initial schema; otherwise conflicting Article/BlogPosting graphs","Answer; AutoRepair; AutomotiveBusiness; BlogPosting; BreadcrumbList; City; ContactPoint; FAQPage; ImageObject; ItemPage; ListItem; Offer; OfferCatalog; Organization; PostalAddress; Question; Service; WebSite","ItemPage, BreadcrumbList, BlogPosting, visible FAQPage when present","Yes","3","Linked","ورشة Audi في دبي | ديجي-تك"
