Keyword,Source,Impressions,Average position,Intent,Proposed owner URL,Supporting section,Capability evidence,Action
"lamborghini service dubai","GSC",131,16.65,"Broad commercial service","/brands/lamborghini-service-dubai","Hero and service areas","Independent Al Quoz workshop; scope confirmed per vehicle","Target"
"lamborghini repair dubai","GSC",128,23.03,"Broad commercial repair","/brands/lamborghini-service-dubai","Hero and service areas","Assessment-led repair scope","Target"
"lamborghini maintenance dubai","GSC",92,18.73,"Broad maintenance","/brands/lamborghini-service-dubai","Maintenance overview","Model-specific schedule and linked maintenance guide","Target"
"lamborghini service center dubai","GSC",67,16.18,"Local service centre","/brands/lamborghini-service-dubai","Independent-workshop and location sections","No manufacturer-authorised-centre implication","Support"
"lamborghini service","GSC",61,14.95,"Broad service","/brands/lamborghini-service-dubai","Hero","Independent service enquiries","Target"
"lamborghini workshop dubai","GSC",40,23.95,"Local workshop","/brands/lamborghini-service-dubai","Al Quoz location and process","Verified workshop location","Target"
"lamborghini repair in dubai","GSC",34,32.24,"Broad repair","/brands/lamborghini-service-dubai","Service areas","Assessment-led scope","Support"
"lamborghini servicing","GSC",30,25.50,"Broad maintenance","/brands/lamborghini-service-dubai","Maintenance overview","Vehicle-specific service information","Support"
"lamborghini battery replacement dubai","GSC",26,26.54,"Battery commercial","/brands/lamborghini-service-dubai/battery-replacement","Low-voltage battery diagnosis","Low-voltage scope separated from hybrid traction battery","Target"
"lamborghini engine repair dubai","GSC",25,21.20,"Mechanical engine repair","/brands/lamborghini-service-dubai/mechanical-repair","Engine cooling and mechanical assessment","No rebuild or hybrid capability assumed","Target"
"lamborghini car service in dubai","GSC",24,35.92,"Broad service","/brands/lamborghini-service-dubai","Hero and booking","Independent Al Quoz service","Support"
"lamborghini repair","GSC",23,17.17,"Broad repair","/brands/lamborghini-service-dubai","Hub overview","Dubai context explicit","Support"
"lamborghini service center","GSC",21,17.19,"Broad service centre","/brands/lamborghini-service-dubai","Independent-workshop explanation","No authorisation claim","Support"
"best lamborghini service center dubai","GSC",17,10.76,"Workshop comparison","/best-lamborghini-workshop-dubai","Workshop selection checklist","Comparison criteria only; no best claim","Target"
