source_row,query,approved_cluster,approved_priority,approved_classification,approved_intent,approved_relevance,clicks,impressions,ctr,position,approved_band,intended_owner,actual_ranking_url,outcome,implemented_or_retained,page_intent_alignment,title_before,title_after,h1_before,h1_after,opening_after,description_after,snippet_eligibility,commercial_cta,serp_limit,measured_ctr_change
59,frenos near me,All vehicles: Brake repair (English),GROWTH,SUPPORT,Commercial service enquiry,Medium,0.0,373.0,0.0,9.94,4–10,https://digitecme.com/services/brake-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Shared service enquiry URL now includes the chosen service. Selected commercial owners also receive specific hero/mid/final actions and related owner links; exact rendered differences are recorded here.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Brake Repair Dubai | Pads, Discs, Calipers & ABS | Digitec","Brake Repair Dubai | Pads, Discs, Calipers & ABS | Digitec",Brake Repair in Dubai,Brake Repair in Dubai,"Digitec Performance Center inspects and repairs supported brake systems in Dubai. Pad and disc wear, vibration, noise, fluid leaks, pedal changes or warning messages are assessed with measurements and compatible electronic checks before parts are proposed.","Brake inspection and repair in Dubai covering pads, discs, calipers, fluid and supported ABS diagnostics for selected luxury and German cars.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Brake Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
85,digitech dubai,DIGI-TEC: Business navigation,DEPRIORITIZE,DEPRIORITIZE,Navigational,Medium,0.0,193.0,0.0,6.9,4–10,https://digitecme.com/,Unknown: supplied export does not pair query and page,Implemented in source,"Existing shared service listing now uses the revised car-oil-change label; the main page title, H1 and commercial positioning remain unchanged. Removed stray NUL padding from streamed HTML.",Business navigation remains on the homepage; spelling variation is not a reason to change the brand name.,Digi-Tec Performance Center | Independent Car Workshop Dubai,Digi-Tec Performance Center | Independent Car Workshop Dubai,DIGI-TECPerformance Center,DIGI-TECPerformance Center,"Independent vehicle maintenance, diagnostics, repair, body work and performance-project support from Digi-Tec Performance Center in Al Quoz Industrial Area 3.","Independent car workshop in Al Quoz, Dubai since 2002 for inspection, maintenance, repair, programming, bodywork and performance-project consultation. Call +971 4 340 2223.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Appointment ; Chat with us now ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
22,vulcanizing shop near me,All vehicles: Tyre repair,GROWTH,SUPPORT,Commercial service enquiry,High,1.0,151.0,0.0066,5.63,4–10,https://digitecme.com/services/tire-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Kept the relevant puncture-assessment title, opening and eligibility limits; added a tyre-assessment CTA in hero/mid/final sections, appointment/stock guidance and steering/suspension links. No mobile-response or universal-repair promise.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai,Tire Repair Dubai,"Digitec Performance Center inspects punctures, tire damage, fitment and alignment concerns in Dubai. Repair eligibility depends on the puncture location, tire construction, prior underinflated use and manufacturer guidance; replacement fitment and availability are confirmed before work begins.","Tire repair in Dubai with puncture assessment, replacement, balancing and alignment subject to vehicle fitment and product availability.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Tyre Assessment ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
109,mercedes service in dubai,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,148.0,0.0,6.74,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
114,digitech,DIGI-TEC: Business navigation,DEPRIORITIZE,DEPRIORITIZE,Navigational,Medium,0.0,137.0,0.0,4.18,4–10,https://digitecme.com/,Unknown: supplied export does not pair query and page,Implemented in source,"Existing shared service listing now uses the revised car-oil-change label; the main page title, H1 and commercial positioning remain unchanged. Removed stray NUL padding from streamed HTML.",Business navigation remains on the homepage; spelling variation is not a reason to change the brand name.,Digi-Tec Performance Center | Independent Car Workshop Dubai,Digi-Tec Performance Center | Independent Car Workshop Dubai,DIGI-TECPerformance Center,DIGI-TECPerformance Center,"Independent vehicle maintenance, diagnostics, repair, body work and performance-project support from Digi-Tec Performance Center in Al Quoz Industrial Area 3.","Independent car workshop in Al Quoz, Dubai since 2002 for inspection, maintenance, repair, programming, bodywork and performance-project consultation. Call +971 4 340 2223.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Appointment ; Chat with us now ; Contact Us ; Request an appointment,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
136,mercedes car repair dubai,mercedes-benz: Service and repair (English),CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,118.0,0.0,8.96,4–10,https://digitecme.com/brands/mercedes-benz-service-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Preserved the newer live hub and its service/model links. Kept broad Mercedes ownership and Book Mercedes Service hero; made final enquiry specific. Existing scoped permanent redirects retained and tested; live activation remains blocked.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Digi-Tec Performance Centre is an independent Mercedes-Benz workshop in Al Quoz, Dubai. Owners of C-Class, E-Class, S-Class, G-Class, GLE, GLS, AMG and other Mercedes models can request inspection, maintenance and repair; diagnostic functions and the final scope are confirmed for the vehicle before work begins.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Book Mercedes Service ; Contact Us ; Request an Inspection ; WhatsApp,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
146,exhaust repair near me,All vehicles: Exhaust repair,CRITICAL,SUPPORT,Commercial service enquiry,High,0.0,110.0,0.0,8.23,4–10,https://digitecme.com/services/exhaust-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,Replaced ambiguous Cat title with exhaust and muffler repair; kept repair intent and cost FAQs; added quote guidance and contextual enquiry actions; modification requests remain with tuning.,"Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.","Exhaust Repair Dubai | Cat, Muffler, DPF & Performance",Exhaust & Muffler Repair Dubai | DIGI-TEC,Exhaust Repair in Dubai,Exhaust Repair in Dubai,"Digitec Performance Center inspects and repairs supported exhaust concerns in Dubai. Excessive noise, visible damage, exhaust smell, reduced power or warning messages can lead to leak, restriction, sensor and after-treatment checks before repair or replacement is proposed.","Exhaust and muffler repair in Al Quoz, Dubai. Assessment of leaks, noise, sensors and catalyst or DPF concerns before repair is quoted at DIGI-TEC.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request an Exhaust Inspection ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
199,tire puncture repair near me,All vehicles: Tyre repair,GROWTH,SUPPORT,Commercial service enquiry,High,0.0,78.0,0.0,8.78,4–10,https://digitecme.com/services/tire-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Kept the relevant puncture-assessment title, opening and eligibility limits; added a tyre-assessment CTA in hero/mid/final sections, appointment/stock guidance and steering/suspension links. No mobile-response or universal-repair promise.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai,Tire Repair Dubai,"Digitec Performance Center inspects punctures, tire damage, fitment and alignment concerns in Dubai. Repair eligibility depends on the puncture location, tire construction, prior underinflated use and manufacturer guidance; replacement fitment and availability are confirmed before work begins.","Tire repair in Dubai with puncture assessment, replacement, balancing and alignment subject to vehicle fitment and product availability.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Tyre Assessment ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
209,puncher workshop near me,All vehicles: Tyre repair,GROWTH,SUPPORT,Commercial service enquiry,High,0.0,75.0,0.0,9.52,4–10,https://digitecme.com/services/tire-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Kept the relevant puncture-assessment title, opening and eligibility limits; added a tyre-assessment CTA in hero/mid/final sections, appointment/stock guidance and steering/suspension links. No mobile-response or universal-repair promise.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai,Tire Repair Dubai,"Digitec Performance Center inspects punctures, tire damage, fitment and alignment concerns in Dubai. Repair eligibility depends on the puncture location, tire construction, prior underinflated use and manufacturer guidance; replacement fitment and availability are confirmed before work begins.","Tire repair in Dubai with puncture assessment, replacement, balancing and alignment subject to vehicle fitment and product availability.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Tyre Assessment ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
231,flat tire repair near me,All vehicles: Tyre repair,GROWTH,SUPPORT,Commercial service enquiry,High,0.0,64.0,0.0,9.92,4–10,https://digitecme.com/services/tire-repair-dubai,Unknown: supplied export does not pair query and page,Implemented in source,"Kept the relevant puncture-assessment title, opening and eligibility limits; added a tyre-assessment CTA in hero/mid/final sections, appointment/stock guidance and steering/suspension links. No mobile-response or universal-repair promise.","Review against the approved owner; exact title, H1 and opening below. No inference that this is the current Google ranking URL.",Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai | Puncture Assessment & Fitment | Digitec,Tire Repair Dubai,Tire Repair Dubai,"Digitec Performance Center inspects punctures, tire damage, fitment and alignment concerns in Dubai. Repair eligibility depends on the puncture location, tire construction, prior underinflated use and manufacturer guidance; replacement fitment and availability are confirmed before work begins.","Tire repair in Dubai with puncture assessment, replacement, balancing and alignment subject to vehicle fitment and product availability.","Indexable, self-canonical page with title/description and visible content; actual Google snippet choice is unverified. FAQ markup does not promise a rich result.",Contact Us ; Request a Tyre Assessment ; WhatsApp Us,"Search results sampled for exhaust, tyre and Porsche DIP2 intent; no localized Google rank or snippet assertion. All 47 flags require query/page plus country/device data to establish the CTR cause.",Not yet measurable: source implementation has not been published and recrawled
