cluster,query,found_in_export,Clicks,Impressions,CTR,Position,source_range
BMW,bmw service dubai,True,0.0,60.0,0.0,16.88,Queries!A13:E13
Rolls-Royce,rolls royce service dubai,True,0.0,50.0,0.0,18.32,Queries!A16:E16
Aston Martin,aston martin service dubai,True,1.0,31.0,0.0323,21.97,Queries!A5:E5
Bentley,bentley service dubai,True,0.0,35.0,0.0,32.4,Queries!A28:E28
PPF,car paint protection,True,0.0,45.0,0.0,32.89,Queries!A17:E17
PPF,car paint protection dubai,True,0.0,18.0,0.0,22.78,Queries!A77:E77
PPF,car paint protection film,True,0.0,30.0,0.0,30.47,Queries!A39:E39
PPF,paint protection film,True,0.0,26.0,0.0,48.96,Queries!A53:E53
PPF,paint protection film ppf,True,0.0,36.0,0.0,37.31,Queries!A24:E24
PPF,paint protection film near me,True,0.0,43.0,0.0,14.12,Queries!A19:E19
PPF,paint protection film installers,True,0.0,22.0,0.0,19.09,Queries!A59:E59
PPF,ppf dubai,True,0.0,7.0,0.0,51.0,Queries!A288:E288
Ceramic,ceramic paint protection,True,0.0,28.0,0.0,35.14,Queries!A44:E44
Ceramic,ceramic paint protection dubai,True,0.0,36.0,0.0,20.28,Queries!A23:E23
Ceramic,paint protection coating,True,0.0,35.0,0.0,27.74,Queries!A27:E27
Cadillac CUE,cue screen replacement in dubai,True,0.0,39.0,0.0,31.03,Queries!A20:E20
Cadillac CUE,cadillac touch screen repair in dubai,True,0.0,37.0,0.0,55.0,Queries!A22:E22
Cadillac CUE,cadillac cue screen replacement in dubai,True,0.0,9.0,0.0,44.0,Queries!A209:E209
Cadillac CUE,cadillac xts touch screen replacement in dubai,True,0.0,20.0,0.0,42.85,Queries!A69:E69
Cadillac CUE,cadillac srx screen replacement in dubai,True,0.0,17.0,0.0,54.59,Queries!A80:E80
Tyres,tire repair dubai,True,0.0,32.0,0.0,23.81,Queries!A34:E34
Tyres,tyre repair dubai,True,0.0,32.0,0.0,48.47,Queries!A35:E35
Head unit,command unit repairing dubai,True,0.0,31.0,0.0,65.03,Queries!A37:E37
Head unit,head unit repairing dubai,True,0.0,11.0,0.0,64.45,Queries!A154:E154
Electrical,car electrical repair dubai,True,0.0,29.0,0.0,44.69,Queries!A41:E41
Electrical,car electrical repair in dubai,True,0.0,9.0,0.0,48.44,Queries!A211:E211
Electrical,car electrical services dubai,True,0.0,19.0,0.0,74.63,Queries!A75:E75
Electrical,car wiring repair,True,0.0,8.0,0.0,43.25,Queries!A246:E246
Mercedes audio,mercedes stereo upgrade in dubai,True,0.0,29.0,0.0,49.55,Queries!A42:E42
Mercedes audio,mercedes e class audio upgrade in dubai,True,0.0,15.0,0.0,49.73,Queries!A102:E102
Mercedes audio,mercedes sound system upgrade in dubai,True,0.0,3.0,0.0,54.0,Queries!A604:E604
Bentley camera,bentley reverse camera in dubai,True,0.0,26.0,0.0,43.96,Queries!A52:E52
