Keyword,Source,Impressions,Average position,Intent,Owning URL,Action
Audi service Dubai,GSC,20,28.30,Broad commercial,/brands/audi-service-dubai,Strengthen hub title/H1/intro
Audi service in Dubai,GSC,15,31.33,Broad commercial,/brands/audi-service-dubai,Strengthen hub copy and CTA
Audi repair Dubai,GSC,14,13.21,Broad commercial,/brands/audi-service-dubai,Keep hub authoritative
Audi repair,GSC,14,12.07,Broad commercial,/brands/audi-service-dubai,Keep hub authoritative
Audi specialist Dubai,GSC,27,21.37,Specialist commercial,/brands/audi-service-dubai,Add independent workshop proof and booking context
Audi repair specialist in Dubai,GSC,15,31.13,Specialist commercial,/brands/audi-service-dubai,Use naturally in hub context
Audi maintenance,GSC,8,10.38,Maintenance commercial,/brands/audi-service-dubai/oil-change,Link from hub
Audi maintenance Dubai,GSC,6,14.00,Maintenance commercial,/brands/audi-service-dubai/oil-change,Link from hub
Audi battery replacement Dubai,GSC,34,11.59,Service commercial,/brands/audi-service-dubai/battery-replacement,Link prominently from hub
Audi brake repair Dubai,GSC,26,27.23,Service commercial,/brands/audi-service-dubai/brake-repair,Link prominently from hub
Audi body shop Dubai,GSC,22,10.32,Service commercial,/brands/audi-service-dubai/body-repair,Keep separate from hub repair intent
Audi transmission repair Dubai,GSC,20,32.75,Service commercial,/brands/audi-service-dubai/transmission-repair,Link prominently from hub
Audi engine diagnostics,GSC,14,9.36,Service commercial,/brands/audi-service-dubai/engine-diagnostics,Link prominently from hub
Audi oil change Dubai,GSC,12,21.08,Service commercial,/brands/audi-service-dubai/oil-change,Link prominently from hub
Audi suspension repair Dubai,GSC,11,31.27,Service commercial,/brands/audi-service-dubai/suspension-repair,Link prominently from hub
Audi diagnostic Dubai,GSC,5,22.00,Service commercial,/brands/audi-service-dubai/engine-diagnostics,Link prominently from hub
Audi AC repair Dubai,GSC,5,54.00,Service commercial,/brands/audi-service-dubai/ac-repair,Link prominently from hub
