query,clicks,impressions,ctr,position,id,cluster,section,fit,action,url,sourceRow
mercedes repair dubai,5.0,954.0,0.0052,10.64,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,2
mercedes repair in dubai,3.0,271.0,0.0111,11.3,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,3
mercedes repair dubai near me,2.0,9.0,0.22219999999999998,2.22,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording. Include accurate Al Quoz location and Business Profile links; proximity varies by searcher.",https://digitecme.com/brands/mercedes-benz-service-dubai,4
mercedes specialist workshop,2.0,2.0,1.0,6.0,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,5
mercedes service dubai,1.0,591.0,0.0017000000000000001,16.81,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Relevant,Use one service booking destination; explain scope and link oil-only work and informational schedules separately.,https://digitecme.com/brands/mercedes-benz-service-dubai,6
mercedes transmission repair dubai,1.0,127.0,0.0079,20.81,TRANS,Transmission and gearbox,Gearbox service and fault diagnosis,Relevant,"Match transmission repair, service and applicable clutch work to one transactional page.",https://digitecme.com/services/mercedes-transmission-repair-dubai,7
mercedes transmission repair,1.0,98.0,0.0102,36.9,TRANS,Transmission and gearbox,Gearbox service and fault diagnosis,Relevant,"Match transmission repair, service and applicable clutch work to one transactional page.",https://digitecme.com/services/mercedes-transmission-repair-dubai,8
mercedes major service dubai,1.0,70.0,0.0143,14.24,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Relevant,Use one service booking destination; explain scope and link oil-only work and informational schedules separately.,https://digitecme.com/brands/mercedes-benz-service-dubai,9
mercedes ac repair dubai,1.0,46.0,0.0217,22.87,AC,AC repair,"AC diagnosis, recharge and repair",Relevant,Use AC and air conditioning as natural wording on the same page.,https://digitecme.com/services/mercedes-ac-repair-dubai,10
mercedes gad motors,1.0,33.0,0.030299999999999997,6.67,TUNE,Performance tuning and GAD,Mercedes-AMG tuning and verified projects,Relevant,Use the Mercedes section of the existing tuning page and relevant project evidence.,https://digitecme.com/tuning,11
mercedes repair shop,1.0,11.0,0.0909,8.45,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,12
mercedes repair,0.0,635.0,0.0,17.31,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,13
mercedes workshop dubai,0.0,374.0,0.0,22.03,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,14
mercedes service,0.0,331.0,0.0,25.85,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Relevant,Use one service booking destination; explain scope and link oil-only work and informational schedules separately.,https://digitecme.com/brands/mercedes-benz-service-dubai,15
