sheet,row,source_range,Top pages,Clicks,Impressions,CTR,Position
Pages,2,Pages!A2:E2,https://digitecme.com/brands/mercedes-benz-service-dubai,13.0,1223.0,0.0106,8.36
Pages,3,Pages!A3:E3,https://digitecme.com/,8.0,382.0,0.0209,18.47
Pages,4,Pages!A4:E4,https://digitecme.com/brands/bmw-service-dubai,2.0,278.0,0.0072,20.27
Pages,5,Pages!A5:E5,https://digitecme.com/brands/nissan-service-dubai,1.0,220.0,0.0045000000000000005,16.62
Pages,6,Pages!A6:E6,https://digitecme.com/services/paint-protection-film,1.0,213.0,0.004699999999999999,40.74
Pages,7,Pages!A7:E7,https://digitecme.com/tuning,1.0,186.0,0.0054,21.59
Pages,8,Pages!A8:E8,https://digitecme.com/services/car-diagnostics-dubai,1.0,170.0,0.0059,26.52
Pages,9,Pages!A9:E9,https://digitecme.com/brands/aston-martin-service-dubai,1.0,155.0,0.006500000000000001,22.95
Pages,10,Pages!A10:E10,https://digitecme.com/services/oil-change-dubai,1.0,151.0,0.0066,23.94
Pages,11,Pages!A11:E11,https://digitecme.com/services/auto-electrical-repair-dubai,1.0,120.0,0.0083,42.01
Pages,12,Pages!A12:E12,https://digitecme.com/services/car-body-repair-dubai,1.0,78.0,0.0128,26.63
Pages,13,Pages!A13:E13,https://digitecme.com/services/soft-close-door-repair-dubai,1.0,76.0,0.0132,6.42
Pages,14,Pages!A14:E14,https://digitecme.com/brands/range-rover-service-dubai,1.0,70.0,0.0143,37.4
Pages,15,Pages!A15:E15,https://digitecme.com/services/battery-replacement-dubai,1.0,30.0,0.0333,17.67
Pages,16,Pages!A16:E16,https://digitecme.com/ar/services/battery-replacement-dubai,1.0,25.0,0.04,9.96
Pages,17,Pages!A17:E17,https://digitecme.com/best-bmw-workshop-dubai,1.0,24.0,0.0417,7.88
Pages,18,Pages!A18:E18,https://digitecme.com/about,1.0,9.0,0.11109999999999999,35.44
Pages,19,Pages!A19:E19,https://digitecme.com/brands/mitsubishi-service-dubai/ac-repair,1.0,8.0,0.125,7.75
Pages,20,Pages!A20:E20,https://digitecme.com/ar/brands/rox-service-dubai/ac-repair,1.0,5.0,0.2,3.4
