Keyword,Source,Impressions,Average position,Search intent,Proposed owner URL,Supporting section,Implementation status,Capability verification,Exclusion or deferral reason
"mclaren repair dubai","GSC workbook Queries",140,12.38,"Broad commercial repair","/brands/mclaren-service-dubai","Hero and workshop-services overview","Implemented","Independent Al Quoz workshop; exact scope confirmed per vehicle",""
"mclaren service dubai","GSC workbook Queries",89,11.74,"Broad commercial service","/brands/mclaren-service-dubai","Title H1 hero and booking CTAs","Implemented","Independent servicing language; no authorised-repairer claim",""
"mclaren engine repair dubai","GSC workbook Queries",62,14.10,"Engine/mechanical repair","/brands/mclaren-service-dubai/mechanical-repair","Engine cooling and mechanical assessment","Implemented","Diagnosis and accepted repair scope confirmed after inspection",""
"mclaren maintenance dubai","GSC workbook Queries",53,9.79,"Scheduled maintenance","/brands/mclaren-service-dubai/oil-change","Maintenance and oil-service planning","Implemented","Model-specific schedule; no universal grade or interval",""
"mclaren workshop dubai","GSC workbook Queries",51,16.92,"Local workshop comparison","/brands/mclaren-service-dubai","Al Quoz location and process","Implemented","Independent workshop stated accurately",""
"mclaren oil change service dubai","GSC workbook Queries",46,11.54,"Oil service","/brands/mclaren-service-dubai/oil-change","Vehicle-specific oil service","Implemented","Oil and filter specification confirmed by model/year",""
"mclaren garage dubai","GSC workbook Queries",42,29.05,"Local workshop","/brands/mclaren-service-dubai","Workshop and directions","Implemented","Location confirmed as Al Quoz Dubai",""
"mclaren repair abu dhabi","GSC workbook Queries",41,16.66,"Different-city repair","","None","Excluded","No Abu Dhabi premises verified","Do not create misleading Abu Dhabi location targeting"
"mclaren repair","GSC workbook Queries",39,8.62,"Broad repair","/brands/mclaren-service-dubai","Hero and service overview","Implemented","Dubai context and independent status explicit",""
"mclaren service center","GSC workbook Queries",22,13.45,"Broad service centre","/brands/mclaren-service-dubai","Title and independent-workshop explanation","Implemented","Used as search intent without implying manufacturer authorisation",""
"mclaren transmission repair dubai","GSC workbook Queries",19,5.00,"Transmission repair","/brands/mclaren-service-dubai/transmission-repair","Transmission and gearbox assessment","Implemented","Fitted system and internal repair availability confirmed first",""
