topic,approved_primary_query,existing_owner,approved_impressions,approved_position,decision,basis,indexable_before,indexable_after
lamborghini: Camera retrofit,lamborghini reverse camera in dubai,No verified dedicated owner,163.0,21.93,NO NEW PAGE - capability confirmation required,No verified dedicated service owner or supplied workshop evidence. Keep retrofit/component demand deprioritized. Do not infer capability from impressions or a generic hub.,N/A,N/A
Unspecified brand: Audio or interior retrofit,steering wheel restoration dubai,No verified dedicated owner,34.0,38.56,NO NEW PAGE - capability confirmation required,No verified dedicated service owner or supplied workshop evidence. Keep retrofit/component demand deprioritized. Do not infer capability from impressions or a generic hub.,N/A,N/A
Unspecified brand: Screen or head-unit repair,cue screen replacement in dubai,No verified dedicated owner,746.0,45.164343163538874,NO NEW PAGE - capability confirmation required,No verified dedicated service owner or supplied workshop evidence. Keep retrofit/component demand deprioritized. Do not infer capability from impressions or a generic hub.,N/A,N/A
bentley: Camera retrofit,bentley reverse camera in dubai,No verified dedicated owner,328.0,44.38,NO NEW PAGE - capability confirmation required,No verified dedicated service owner or supplied workshop evidence. Keep retrofit/component demand deprioritized. Do not infer capability from impressions or a generic hub.,N/A,N/A
cadillac: Screen or head-unit repair,cadillac touch screen repair in dubai,No verified dedicated owner,546.0,52.08391941391941,NO NEW PAGE - capability confirmation required,No verified dedicated service owner or supplied workshop evidence. Keep retrofit/component demand deprioritized. Do not infer capability from impressions or a generic hub.,N/A,N/A
mercedes-benz: Audio or interior retrofit,mercedes stereo upgrade in dubai,No verified dedicated owner,375.0,57.83210666666667,NO NEW PAGE - capability confirmation required,No verified dedicated service owner or supplied workshop evidence. Keep retrofit/component demand deprioritized. Do not infer capability from impressions or a generic hub.,N/A,N/A
range-rover: Audio or interior retrofit,range rover sport subwoofer upgrade in dubai,No verified dedicated owner,52.0,90.42,NO NEW PAGE - capability confirmation required,No verified dedicated service owner or supplied workshop evidence. Keep retrofit/component demand deprioritized. Do not infer capability from impressions or a generic hub.,N/A,N/A
ppf,paint protection film near me,https://digitecme.com/services/paint-protection-film,1059.0,40.84340887629839,RETAIN INDEXED OWNER; no new URL,"Retained the recent page, coverage architecture and quote journey; added explicit limits to product-rated self-healing; gained contextual body-repair and Audi/Bentley hub links. Verified project evidence remains an external content requirement.",True,True
ceramic,ceramic paint protection dubai,https://digitecme.com/services/ceramic-coating,1101.0,35.027647593097186,RETAIN INDEXED OWNER; no new URL,"Retained the recent coating/preparation/limitations/maintenance/PPF comparison page; added a practical quote checklist covering product, panels, preparation, curing/first wash and existing-film compatibility; gained contextual links. Verified project evidence remains an external content requirement.",True,True
polishing,No exported query,https://digitecme.com/services/car-polishing-dubai,0,,RETAIN INDEXED OWNER; no new URL,"Retained the complete September 8 page, metadata, FAQs and assessment form; improved discovery through new links from brand body-repair pages and Audi/Bentley hubs. Verified project evidence remains an external content requirement.",True,True
