Keyword,Source,Impressions,Average position,Intent,Proposed owner URL,Section,Capability evidence,Action/reason
"rolls royce service dubai","GSC workbook Queries",155,19.21,"Broad commercial service","/brands/rolls-royce-service-dubai","Hero and service overview","Independent Al Quoz workshop; scope confirmed per vehicle","Implemented"
"rolls royce repair dubai","GSC workbook Queries",108,20.56,"Broad commercial repair","/brands/rolls-royce-service-dubai","Hero and service overview","Existing 14-service architecture; repair scope confirmed per vehicle","Implemented"
"rolls royce service","GSC workbook Queries",67,19.27,"Broad service","/brands/rolls-royce-service-dubai","Hero","Independent service positioning","Implemented"
"rolls royce maintenance dubai","GSC workbook Queries",51,17.02,"Maintenance","/brands/rolls-royce-service-dubai/oil-change","Maintenance and oil service","Existing maintenance route; exact schedule/specification confirmed","Implemented"
"rolls royce service center","GSC workbook Queries",37,16.38,"Workshop/service-centre discovery","/brands/rolls-royce-service-dubai","Independent workshop positioning","Verified Al Quoz location; no authorised-centre claim","Implemented as natural synonym"
"rolls royce workshop dubai","GSC workbook Queries",36,19.94,"Workshop discovery","/brands/rolls-royce-service-dubai","Location and workshop proof","Verified Al Quoz location and workshop image","Implemented"
"rolls royce service center dubai","GSC workbook Queries",36,23.47,"Workshop/service-centre discovery","/brands/rolls-royce-service-dubai","Independent workshop positioning","Verified Al Quoz location; no authorised-centre claim","Implemented as natural synonym"
"rolls royce engine repair dubai","GSC workbook Queries",31,18.90,"Engine/mechanical repair","/brands/rolls-royce-service-dubai/mechanical-repair","Engine cooling and mechanical assessment","Existing route; combustion models separated from Spectre","Implemented"
"rolls royce repair in dubai","GSC workbook Queries",31,22.06,"Broad commercial repair","/brands/rolls-royce-service-dubai","Hero and service overview","Existing repair routes and local contact actions","Implemented"
"rolls royce transmission repair dubai","GSC workbook Queries",13,10.23,"Transmission repair","/brands/rolls-royce-service-dubai/transmission-repair","Transmission assessment","Existing route; fitted unit and capability confirmed","Implemented"
