briefId,url,queryCount,targetQueryGroups,status,beforeTitle,afterTitle,beforeH1,afterH1,beforeDescription,afterDescription,specificChanges,filesChanged,validation,production,remainingEvidence
HUB,https://digitecme.com/brands/mercedes-benz-service-dubai,192,General repair and workshop; Mercedes inspection; Other Mercedes model service; Scheduled service and maintenance,Changed in prepared release,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes Repair & Service Dubai | Digi-Tec Specialists,Mercedes-Benz Repair & Service Dubai,Mercedes-Benz Repair & Service Dubai,"Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Specialist Mercedes repair and service in Dubai for C-Class, E-Class, S-Class, G-Class, GLE, GLS and AMG. XENTRY diagnostics at our Al Quoz workshop in Dubai.","Kept the broad hub title/H1 and URL. Added bilingual minor/major and A/B scope comparison, exclusions, quote inputs and appointment information. The top maintenance card now reaches the comparison on this hub; AC has its own correctly targeted card. Fixed anchor scrolling and Arabic booking controls.",src/pages/BrandPage.tsx; src/components/MercedesMaintenanceScope.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,New repair case histories need original records and customer publication permission.
ENGINE,https://digitecme.com/services/mercedes-mechanical-repair-dubai,3,Engine repair,Changed in prepared release,Mercedes-Benz Mechanical Repair Dubai | Digi-Tec,Mercedes Engine & Mechanical Repair Dubai | Digi-Tec,Mercedes-Benz Mechanical Repair Dubai,Mercedes Engine & Mechanical Repair in Dubai,"Mercedes-Benz mechanical repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes engine repair in Al Quoz, Dubai. Assessment of overheating, oil leaks, misfires and mounts, with repair options and an itemized quote.","Replaced generic mechanical copy with engine-first leaks, overheating, misfires, mounts, testing, repair/replacement assessment, quote components and post-work checks. Added the existing workshop engine photo with a limited factual caption and a direct gearbox link.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,"Existing engine photo reused; no documented diagnostic findings, repair scope and outcome record was supplied."
SUSP,https://digitecme.com/services/mercedes-suspension-repair-dubai,2,Suspension repair,Changed in prepared release,Mercedes-Benz Suspension Repair Dubai | Digi-Tec,Mercedes Suspension & AIRMATIC Repair Dubai | Digi-Tec,Mercedes-Benz Suspension Repair Dubai,Mercedes Suspension & AIRMATIC Repair in Dubai,"Mercedes-Benz suspension repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes suspension and AIRMATIC assessment in Al Quoz, Dubai. Leak, compressor, valve-block and ride-height checks before repair is quoted.","Added coil-versus-air identification, measured height/leak investigation, compressor/valve-block/sensor checks, estimate inclusions and verification. Retained the separate symptom guides.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,A real before/after ride-height record is still needed.
TRANS,https://digitecme.com/services/mercedes-transmission-repair-dubai,8,Transmission and gearbox,Changed in prepared release,Mercedes-Benz Transmission Repair Dubai | Digi-Tec,Mercedes Transmission & Gearbox Repair Dubai | Digi-Tec,Mercedes-Benz Transmission Repair Dubai,Mercedes Transmission & Gearbox Repair in Dubai,"Mercedes-Benz transmission repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes transmission and gearbox repair assessment in Al Quoz. Identify the fitted gearbox and compare fluid service, fault repair and replacement scope.","Separated scheduled fluid work from diagnosis, control/valve-body work, internal repair and replacement. Added exact gearbox identification, 7G/9G/AMG qualifications, quote components and post-work checks.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,A documented repair and post-repair check record is still needed.
OIL,https://digitecme.com/services/mercedes-oil-change-dubai,13,Oil change,Changed in prepared release,Mercedes-Benz Oil Change Dubai | Digi-Tec,Mercedes Oil Change Dubai | Service & Filter | Digi-Tec,Mercedes-Benz Oil Change Dubai,Mercedes Oil Change in Dubai,"Mercedes-Benz oil change in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes engine oil and filter service in Al Quoz, Dubai. VIN-matched oil approval, quantity, filter and due-service checks with a clear quotation.","Added VIN-based approval/quantity/filter selection, itemized scope, reset and record checks, due-item exclusions and links back to A/B booking on the hub.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,Genuine oil-service photographs were not supplied; no fabricated photo or priced example added.
DIAG,https://digitecme.com/services/mercedes-diagnostics-dubai,17,Diagnostics and coding,Changed in prepared release,Mercedes-Benz Engine Diagnostics Dubai | Digi-Tec,Mercedes Diagnostics & Coding Dubai | Digi-Tec,Mercedes-Benz Engine Diagnostics Dubai,"Mercedes Diagnostics, Coding & Programming in Dubai","Mercedes-Benz engine diagnostics in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes diagnostics in Al Quoz, Dubai, with coding and programming eligibility checked by VIN and module. Fault reports and supported next steps explained.","Added distinct diagnostic scanning, supported coding and programming sections, VIN/module/access eligibility, reports and post-work checks. Linked hardware faults to electrical repair and performance requests to tuning.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,Verified supported coding/programming job examples are still needed; eligibility remains conditional.
AC,https://digitecme.com/services/mercedes-ac-repair-dubai,11,AC repair,Changed in prepared release,Mercedes-Benz AC Repair Dubai | Digi-Tec,Mercedes AC Repair Dubai | Air Conditioning | Digi-Tec,Mercedes-Benz AC Repair Dubai,Mercedes AC & Air Conditioning Repair in Dubai,"Mercedes-Benz ac repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes AC and air-conditioning repair assessment in Al Quoz. Weak cooling, uneven cabin temperature, leaks and airflow checked before quoting repairs.","Added uneven/weak cooling and airflow assessment, vehicle refrigerant identification, leak/recharge distinction, compressor/evaporator access scope and measured post-work checks.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,A real diagnostic case with measured output results is still needed.
BATTERY,https://digitecme.com/services/mercedes-battery-replacement-dubai,6,Battery replacement,Changed in prepared release,Mercedes-Benz Battery Replacement Dubai | Digi-Tec,Mercedes Battery Replacement Dubai | Digi-Tec,Mercedes-Benz Battery Replacement Dubai,Mercedes Battery Testing & Replacement in Dubai,"Mercedes-Benz battery replacement in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes battery testing and replacement at Digi-Tec, Al Quoz. Distinguish main-battery, auxiliary and charging concerns before selecting the correct battery.","Separated main, auxiliary, 48V and charging/drain concerns. Added specification selection, conditional adaptation and installation checks; identified the Al Quoz appointment location.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,No additional business-evidence dependency identified.
BRAKES,https://digitecme.com/services/mercedes-brake-repair-dubai,5,Brake service and repair,Changed in prepared release,Mercedes-Benz Brake Repair Dubai | Digi-Tec,Mercedes Brake Repair & Service Dubai | Digi-Tec,Mercedes-Benz Brake Repair Dubai,Mercedes Brake Repair & Service in Dubai,"Mercedes-Benz brake repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes brake repair and service in Al Quoz. Pad and disc measurements, wear sensors, hydraulic checks and fitted AMG brake specification reviewed.","Added measured pad/disc condition, sensors and hydraulic/fluid checks, AMG package identification, estimate inclusions and post-repair verification.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,A real inspection/measurement record is still needed.
BODY,https://digitecme.com/services/mercedes-body-repair-dubai,13,Body repair,Changed in prepared release,Mercedes-Benz Body Repair Dubai | Digi-Tec,Mercedes Body Repair & Body Shop Dubai | Digi-Tec,Mercedes-Benz Body Repair Dubai,Mercedes Body Repair & Paintwork in Dubai,"Mercedes-Benz body repair in Dubai with model-specific inspection, confirmed parts options and a clear quote at Digi-Tec, Al Quoz.","Mercedes body repair and paintwork assessment in Al Quoz. Inspect dents, bumpers and panels, confirm finish requirements and receive an itemized scope.","Added panel/dent/bumper/paint inspection, hidden-damage and access scope, estimate exclusions and specialist-performer confirmation. Linked shared body repair, PPF and the separately identified G63 conversion project.",src/data/mercedesServiceContent.ts; src/data/brandServices.ts; src/pages/BrandServicePage.tsx,"Passed generated HTML, canonical/indexing, sitemap, unique metadata, internal links/assets and schema checks",Publication blocked by app write permissions; updated release not verified live,A genuine body-repair before/after record is still needed; the conversion is not presented as an accident repair.
